model,acc,macro_f1,micro_f1,avg_recall,time
DecisionTree,0.8690193417034272,0.8661414130621669,0.8670232991623239,0.8654982068154621,3.096693515777588
RandomForest,0.9294197488971836,0.9277009369876289,0.928537814398748,0.9265232192651848,16.888396739959717
XGBoost,0.9368849677638276,0.9360170852492947,0.9367747336433521,0.9350130063333123,39.9344277381897
AdaBoost,0.9080420766881574,0.9072524664715412,0.9083394940542322,0.906079180662295,44.69625210762024
SVM,0.9457074991516796,0.9453033420934945,0.945621373861035,0.9445889498605523,6.10435938835144
LightGBM,0.9399389209365456,0.9395524686990532,0.9402187058581091,0.9386129895310228,4.810550928115845
MLP,0.9450288428910757,0.9456208023805641,0.9464400806708122,0.944465637713773,8.886725664138794
