model,accuracy,macro_f1,micro_f1,avg_recall,training time,testing time
DecisionTree,0.8690193417034272,0.8661414130621669,0.8670232991623239,0.8654982068154621,3.1681268215179443,0.0016324520111083984
RandomForest,0.9077027485578555,0.9052717507893023,0.906416268913492,0.9043364145950812,0.9290621280670166,0.0033922195434570312
XGBoost,0.8866644044791313,0.8855198502007183,0.8864221063899713,0.8849377407860284,0.8559646606445312,0.0026781558990478516
AdaBoost,0.831014591109603,0.8292051640949087,0.8294093660545551,0.8285425811826679,10.605277299880981,0.0076160430908203125
SVM,0.9433322022395657,0.9426790369728942,0.9432203251196657,0.9417128016590453,7.165825128555298,1.8051259517669678
LightGBM,0.9032914828639295,0.9024001664980102,0.9030789555936639,0.9016244819457925,0.5197010040283203,0.002634286880493164
MLP,0.9514760773668137,0.9510490142069726,0.9513283711183894,0.9505780059339202,87.83973455429077,0.0019867420196533203
