model,accuracy,macro_f1,micro_f1,avg_recall,training time,testing time
decision_tree,0.8673227010518878,0.864082578621656,0.8652933010767373,0.8636110755800271,3.0936968326568604,0.0018603801727294922
random_forest,0.928401764506246,0.9266727349053027,0.9273961512749564,0.9255006273017711,4.165152072906494,0.010628938674926758
xgboost,0.9189005768577904,0.9177037965448159,0.9189206972441054,0.9166968858699912,5.273086786270142,0.006430387496948242
adaboost,0.9131319986426565,0.9122081164984248,0.9132665406523812,0.9109174164855722,63.59246301651001,0.0295867919921875
svc,0.9433322022395336,0.9426790369227295,0.9432203250694715,0.9417128016588525,6.113387823104858,1.6403794288635254
lightbgm,0.9338310145910779,0.9333727458727409,0.9341852616586529,0.9324269066657788,4.121714353561401,0.0093536376953125
mlp,0.9474041398031575,0.9481270437008863,0.948755901704525,0.9470844648820691,7.1091697216033936,0.012004852294921875
