model,accuracy,macro_f1,micro_f1,avg_recall,training time,testing time
DecisionTree,0.8690193417034272,0.8661414130621669,0.8670232991623239,0.8654982068154621,3.1248230934143066,0.0017766952514648438
RandomForest,0.9277231082456736,0.9256654937474549,0.9265580815107763,0.9245805517262076,4.144493818283081,0.010333061218261719
XGBoost,0.9189005768578216,0.9177037965949356,0.9189206972942946,0.9166968858701786,3.6976354122161865,0.0037348270416259766
AdaBoost,0.9168646080760094,0.9158572287806629,0.917219744141918,0.91455178465518,63.91221570968628,0.027982234954833984
SVM,0.9433322022395657,0.9426790369728942,0.9432203251196657,0.9417128016590453,6.407857894897461,1.7394952774047852
LightGBM,0.9338310145911096,0.9333727459228874,0.9341852617088451,0.9324269066659695,3.7264184951782227,0.008634328842163086
MLP,0.9470648116728877,0.9459146462815515,0.9468000494745592,0.944784860489643,7.754979610443115,0.001953125
