model,accuracy,macro_f1,micro_f1,avg_recall,training time,testing time
DecisionTree,0.8690193417034272,0.8661414130621669,0.8670232991623239,0.8654982068154621,3.1513922214508057,0.0019023418426513672
RandomForest,0.9182219205972175,0.9158273065182861,0.9171826660565453,0.9143880666156391,0.8149862289428711,0.003270387649536133
XGBoost,0.8866644044791313,0.8855198502007183,0.8864221063899713,0.8849377407860284,0.8633224964141846,0.002866029739379883
AdaBoost,0.831014591109603,0.8292051640949087,0.8294093660545551,0.8285425811826679,10.542728662490845,0.00731658935546875
SVM,0.9433322022395657,0.9426790369728942,0.9432203251196657,0.9417128016590453,6.77939248085022,1.780951976776123
LightGBM,0.9032914828639295,0.9024001664980102,0.9030789555936639,0.9016244819457925,0.5217337608337402,0.0024466514587402344
MLP,0.9022734984730234,0.9014529744419363,0.9023311646575775,0.9002487132337444,0.8133947849273682,0.0019617080688476562
