model,acc,macro_f1,micro_f1,avg_recall,time
DecisionTree,0.8690193417034272,0.8661414130621669,0.8670232991623239,0.8654982068154621,3.0956668853759766
RandomForest,0.9331523583305056,0.931101692679079,0.931870042256788,0.9301377016104189,16.841352224349976
XGBoost,0.9368849677638276,0.9360170852492947,0.9367747336433521,0.9350130063333123,45.48660922050476
AdaBoost,0.9107567017305734,0.9096389855229755,0.9113885299673729,0.9084849542126859,42.078025817871094
SVM,0.9453681710213777,0.9449093374798032,0.945240009190093,0.9441777107349384,6.083175897598267
LightGBM,0.9399389209365456,0.9395524686990532,0.9402187058581091,0.9386129895310228,4.777101516723633
MLP,0.9535120461486257,0.9522252716711354,0.9527386222849088,0.9513936736479801,7.761703729629517
