model,acc,macro_f1,micro_f1,avg_recall,time
DecisionTree,0.8690193417034272,0.8661414130621669,0.8670232991623239,0.8654982068154621,3.2469322681427
RandomForest,0.9273837801153716,0.9252771334238742,0.92606156637777,0.9241670131533217,16.539827823638916
XGBoost,0.9368849677638276,0.9360170852492947,0.9367747336433521,0.9350130063333123,50.354060649871826
AdaBoost,0.9110960298608755,0.9098302873796255,0.9108470240375333,0.9086485391970441,42.066951274871826
SVM,0.9460468272819816,0.9456338361871922,0.9459457652069927,0.944928393173519,6.032140016555786
LightGBM,0.9399389209365456,0.9395524686990532,0.9402187058581091,0.9386129895310228,4.806048393249512
MLP,0.9480827960637936,0.9484307452470905,0.9492506794706034,0.9471815145349772,9.106985330581665
